poll_id,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,methodology,state,start_date,end_date,sponsor_candidate_id,sponsor_candidate,sponsor_candidate_party,question_id,sample_size,population,subpopulation,population_full,tracking,created_at,notes,url,source,internal,partisan,race_id,cycle,office_type,seat_number,seat_name,election_date,stage,nationwide_batch,ranked_choice_reallocated,party,answer,candidate_id,candidate_name,pct
73991,334,National Research,1603,Preserve America PAC,National Research,225,National Research Inc.,A/B,Live Phone,Georgia,1/2/21,1/3/21,,"",,138820,500,lv,,lv,,1/4/21 16:08,"",https://www.axios.com/republican-poll-shows-statistical-tie-in-georgia-7c817124-5c12-40a5-a170-2db1bd105209.html,538,false,REP,7781,2020,U.S. Senate,2,Class III,1/5/21,runoff,false,false,DEM,Warnock,14489,Raphael Warnock,46.0
73991,334,National Research,1603,Preserve America PAC,National Research,225,National Research Inc.,A/B,Live Phone,Georgia,1/2/21,1/3/21,,"",,138820,500,lv,,lv,,1/4/21 16:08,"",https://www.axios.com/republican-poll-shows-statistical-tie-in-georgia-7c817124-5c12-40a5-a170-2db1bd105209.html,538,false,REP,7781,2020,U.S. Senate,2,Class III,1/5/21,runoff,false,false,REP,Loeffler,13671,Kelly Loeffler,45.0
73958,1613,University of Nevada Las Vegas Lee Business School,"","","University of Nevada, Las Vegas Lee Business School",609,"University of Nevada, Las Vegas Lee Business School",B/C,Online,Georgia,12/30/20,1/3/21,,"",,138753,550,lv,,lv,,1/4/21 08:08,"",https://busr.ag/georgia-senate-poll,538,false,,8737,2020,U.S. Senate,0,Class II,1/5/21,runoff,false,false,DEM,Ossoff,14567,Jon Ossoff,47.8
73958,1613,University of Nevada Las Vegas Lee Business School,"","","University of Nevada, Las Vegas Lee Business School",609,"University of Nevada, Las Vegas Lee Business School",B/C,Online,Georgia,12/30/20,1/3/21,,"",,138753,550,lv,,lv,,1/4/21 08:08,"",https://busr.ag/georgia-senate-poll,538,false,,8737,2020,U.S. Senate,0,Class II,1/5/21,runoff,false,false,REP,Perdue,14568,David A. Perdue,48.9
73958,1613,University of Nevada Las Vegas Lee Business School,"","","University of Nevada, Las Vegas Lee Business School",609,"University of Nevada, Las Vegas Lee Business School",B/C,Online,Georgia,12/30/20,1/3/21,,"",,138754,550,lv,,lv,,1/4/21 08:08,"",https://busr.ag/georgia-senate-poll,538,false,,7781,2020,U.S. Senate,2,Class III,1/5/21,runoff,false,false,DEM,Warnock,14489,Raphael Warnock,47.7
73958,1613,University of Nevada Las Vegas Lee Business School,"","","University of Nevada, Las Vegas Lee Business School",609,"University of Nevada, Las Vegas Lee Business School",B/C,Online,Georgia,12/30/20,1/3/21,,"",,138754,550,lv,,lv,,1/4/21 08:08,"",https://busr.ag/georgia-senate-poll,538,false,,7781,2020,U.S. Senate,2,Class III,1/5/21,runoff,false,false,REP,Loeffler,13671,Kelly Loeffler,48.6
73959,1477,Targoz Market Research,"","",Targoz Market Research,454,Targoz Market Research,B/C,Online,Georgia,12/30/20,1/3/21,,"",,138755,713,lv,,lv,,1/4/21 08:08,"",https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,538,false,,8737,2020,U.S. Senate,0,Class II,1/5/21,runoff,false,false,DEM,Ossoff,14567,Jon Ossoff,50.0
73959,1477,Targoz Market Research,"","",Targoz Market Research,454,Targoz Market Research,B/C,Online,Georgia,12/30/20,1/3/21,,"",,138755,713,lv,,lv,,1/4/21 08:08,"",https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,538,false,,8737,2020,U.S. Senate,0,Class II,1/5/21,runoff,false,false,REP,Perdue,14568,David A. Perdue,50.0
73959,1477,Targoz Market Research,"","",Targoz Market Research,454,Targoz Market Research,B/C,Online,Georgia,12/30/20,1/3/21,,"",,138756,713,lv,,lv,,1/4/21 08:08,"",https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,538,false,,7781,2020,U.S. Senate,2,Class III,1/5/21,runoff,false,false,DEM,Warnock,14489,Raphael Warnock,51.0
73959,1477,Targoz Market Research,"","",Targoz Market Research,454,Targoz Market Research,B/C,Online,Georgia,12/30/20,1/3/21,,"",,138756,713,lv,,lv,,1/4/21 08:08,"",https://www.pollsmartmr.com/latest-polls-1/poll-the-georgia-runoffs-are-a-dead-heat,538,false,,7781,2020,U.S. Senate,2,Class III,1/5/21,runoff,false,false,REP,Loeffler,13671,Kelly Loeffler,49.0
